timestamp,iso_time,service,label,cpu_pct,mem_pct,jvm_heap_used,jvm_threads,gc_time_sum,gc_count_sum,http_time_max,req_in_sum,pod_restarts,tps,gc_pause_avg
1760137920,2025-10-10T23:12:00+00:00,acmeair-customer-db,large,5.697334,31.2389,0,0,0,0,0,840,0,14.0,
1760137920,2025-10-10T23:12:00+00:00,acmeair-booking-db,large,5.660667,40.088082,0,0,0,0,0,840,0,14.0,
1760137920,2025-10-10T23:12:00+00:00,acmeair-flight-db,large,4.670334,34.07959,0,0,0,0,0,840,0,14.0,
1760137920,2025-10-10T23:12:00+00:00,acmeair-authservice,large,1.502,34.432246,46508896,58.716667,0,0,1624151,22,0,0.36666666666666664,
1760137920,2025-10-10T23:12:00+00:00,acmeair-flightservice,large,1.357501,67.731476,68687338.133334,62.433334,0,0,6037310,31,30,0.5166666666666667,
1760137920,2025-10-10T23:12:00+00:00,acmeair-customerservice,large,1.331667,38.954799,68183935.733334,59.3,0,0,8237716,22,0,0.36666666666666664,
1760137920,2025-10-10T23:12:00+00:00,acmeair-bookingservice,large,1.315667,63.515625,116018342.933334,62.216667,0,0,4371262,22,1230,0.36666666666666664,
1760137920,2025-10-10T23:12:00+00:00,acmeair-mainservice,large,0,0,0,0,0,0,0,0,0,0.0,
1760137980,2025-10-10T23:13:00+00:00,acmeair-customer-db,large,5.618667,31.21521,0,0,0,0,0,840,0,14.0,
1760137980,2025-10-10T23:13:00+00:00,acmeair-booking-db,large,5.676834,40.111746,0,0,0,0,0,840,0,14.0,
1760137980,2025-10-10T23:13:00+00:00,acmeair-flight-db,large,4.622,34.077352,0,0,0,0,0,840,0,14.0,
1760137980,2025-10-10T23:13:00+00:00,acmeair-authservice,large,1.484001,34.435692,46511137.066667,58,0,0,14575212,22,0,0.36666666666666664,
1760137980,2025-10-10T23:13:00+00:00,acmeair-flightservice,large,1.265334,67.731616,74312033.6,58.066667,0,0,5145726,22,30,0.36666666666666664,
1760137980,2025-10-10T23:13:00+00:00,acmeair-customerservice,large,1.379167,39.039638,54928887.466667,58,0,0,7896685,22,0,0.36666666666666664,
1760137980,2025-10-10T23:13:00+00:00,acmeair-bookingservice,large,1.322334,63.515524,121633412.8,61,0,0,4214510,22,1230,0.36666666666666664,
1760137980,2025-10-10T23:13:00+00:00,acmeair-mainservice,large,0,0,0,0,0,0,0,0,0,0.0,
1760138040,2025-10-10T23:14:00+00:00,acmeair-customer-db,large,5.654167,31.264649,0,0,0,0,0,840,0,14.0,
1760138040,2025-10-10T23:14:00+00:00,acmeair-booking-db,large,5.691334,40.108287,0,0,0,0,0,840,0,14.0,
1760138040,2025-10-10T23:14:00+00:00,acmeair-flight-db,large,4.661334,33.974406,0,0,0,0,0,840,0,14.0,
1760138040,2025-10-10T23:14:00+00:00,acmeair-authservice,large,1.4245,34.442406,41107465.6,58,0,0,2143541,22,0,0.36666666666666664,
1760138040,2025-10-10T23:14:00+00:00,acmeair-flightservice,large,1.198001,67.731476,80085413.866667,58,0,0,4859993,22,30,0.36666666666666664,
1760138040,2025-10-10T23:14:00+00:00,acmeair-customerservice,large,1.3995,39.039612,60516104.533334,58,0,0,7651647,22,0,0.36666666666666664,
1760138040,2025-10-10T23:14:00+00:00,acmeair-bookingservice,large,1.337,63.515498,124784492.4,59.983334,0,0,4147175,22,1230,0.36666666666666664,
1760138040,2025-10-10T23:14:00+00:00,acmeair-mainservice,large,0,0,0,0,0,0,0,0,0,0.0,
1760138100,2025-10-10T23:15:00+00:00,acmeair-customer-db,large,5.945167,31.223348,0,0,0,0,0,840,0,14.0,
1760138100,2025-10-10T23:15:00+00:00,acmeair-booking-db,large,5.595167,40.120698,0,0,0,0,0,840,0,14.0,
1760138100,2025-10-10T23:15:00+00:00,acmeair-flight-db,large,4.688667,33.974953,0,0,0,0,0,840,0,14.0,
1760138100,2025-10-10T23:15:00+00:00,acmeair-authservice,large,1.4915,34.442139,46353895.466667,58,0,0,1260223,22,0,0.36666666666666664,
1760138100,2025-10-10T23:15:00+00:00,acmeair-flightservice,large,1.223334,67.731603,84172352.4,57.033334,0,0,5537795,22,30,0.36666666666666664,
